cement,sf,fa,water,cs
750,115,125,180,125
712,115,125,180,125
675,115,125,180,118
737,115,125,180,118
750,115,125,180,128
750,115,125,180,124
750,115,125,180,116
675,115,125,180,128
637,115,125,180,110
807,225,0,196,204
712,231,0,109,138
778,194,189,185.61,185
753,188,183,170.88,166
745,186,181,178.94,162
740,184,180,173.19,200
778,194,189,171.35,181
758,190,184,170.2,155
745,186,181,178.94,159
1365,151.6,0,151.6,136.4
1365,149,0,149,137.9
1365,273,0,273,140.8
1365,273,0,273,155.3
1600,273,0,273,135
1600,273,0,273,135.9
1600,320,0,320,143.2
1600,320,0,320,145.7
1600,320,0,320,124.1
1600,320,0,320,128.3
1600,320,0,320,127.6
1600,320,0,320,144.1
1600,320,0,320,135.5
1600,320,0,320,146.8
1600,320,0,320,144.7
1600,320,0,320,162.4
820,273,0,219,108
820,273,0,219,95
1040,310,0,240,140
1040,310,0,240,165
1040,310,0,240,195
1040,310,0,240,230
1040,310,0,240,140
1040,310,0,240,165
1040,310,0,240,210
510,65,0,140,175
510,65,0,140,195
510,65,0,140,240
450,50,0,140,145
450,50,0,140,175
710,230,0,110,190
967,251,0,244,128
711,85.32,0,137.2,115
1115,367.95,0,334.5,210
833,199.92,0,195.755,162
550,82.5,0,137,142
1107,343.17,0,195,217
750,157.3,0,167,178
800,150,0,230,119
1327.8,332,0,254.4,171
1050,275,0,190,175
657,119,0,185,150.56
657,119,0,185,121.32
813,203.3,0,160.1,204
775,194,0,165,170
845,76.1,0,175.45,188
815,65.2,0,163,194
446,32.6,0,126,162
443,0,448,228,171
450,0,0,126,175
432,29.7,132,160.2,178
408,39,0,190,178
406,40.6,0,185,180
900,135,0,252,185
383,67.5,0,125,187
775,116.3,0,209.3,192
900,135,0,252,195
412,41,0,127,198
550,0,0,151,199
398,0,185,145,100
712,231,0,109,101
786,256,0,190,103
664,142,142,144,104
784,256,0,190,110
420,60,120,138,110
786,256,0,227,112
900,157.5,0,207,114
900,157.5,0,216,115
900,157.5,0,216,116
731,239,0,190,120
784,256,0,190,123
800,261,0,247,124
900,157.5,0,216,130
712,231,0,113.2,132
784,256,0,190,134
800,261,0,247,138
710,230,0,150,138
1010,310,0,240,140
917,229.2,0,202,145
784,256,0,190,149
1033,258,0,155,150
917,229.2,0,202,153
786,256,0,227,154
790,198,192,141,155
665,200,0,178,155
609,183,0,163,155
900,220,0,162,160
1010,310,0,240,165
917,229,0,202,165
1050,275,0,190,169
775,194,0,165,178
959,239.8,0,163,200
